drug,mean_risk_contribution,n_high_risk_patients
metformin glucophage,0.027575757575757583,22
risperidone,0.026875000000000003,16
glipizide,0.02523809523809525,14
insulin glargine cvicu protocol,0.02436666666666666,100
brimonidine tartrate 0 15 ophth,0.02404761904761904,14
amoxicillin-clavulanic acid,0.023787878787878802,22
buspirone,0.023333333333333338,16
captopril,0.022786885245901625,61
scopolamine,0.022493224932249326,123
isosorbide mononitrate,0.022389937106918237,53
cyclobenzaprine,0.02230769230769232,13
heparin iabp,0.022291666666666668,32
valsartan,0.02227272727272728,22
lidocaine 1,0.021983122362869197,237
cephalexin,0.021884057971014496,23
