drug,mean_risk_contribution,n_high_risk_patients
hydroxychloroquine sulfate,0.10665689,10
golytely,0.095656745,18
methylene blue,0.089570045,14
methylprednisolone na suc,0.089338824,10
valganciclovir,0.08596268,34
magnesium citrate,0.085146114,39
bacitracin,0.081595294,18
cyclophosphamide,0.08132911,12
transplant self medication program,0.08014839,25
yellow cadd cassette,0.07941107,15
bupivacaine 0 1,0.07691751,21
dexamethasone sod phosphate,0.07618034,14
adenosine liver flush,0.07427855,12
mannitol 20,0.073771454,25
cinacalcet,0.07294526,10
